year,,,,,,,,,,,,,,,,avg_temp,avg_temp
1750,,,,,,,,,,,,,,,,8.72,8.72
1751,,,,,,,,,,,,,,,,7.98,7.98
1752,,,,,,,,,,,,,,,,5.78,5.78
1753,,,,,,,,,,,,,,,,8.39,8.39
1754,,,,,,,,,,,,,,,,8.47,8.47
1755,Moving 12 years average,,,,,,,,,,,,,,,8.36,8.36
1756,8.021666667,,,,,,,,,,,,,,,8.85,8.85
1757,8.0125,,,,,,,,,,,,,,,9.02,9.02
1758,7.9725,,,,,,,,,,,,,,,6.74,6.74
1759,8.190833333,,,,,,,,,,,,,,,7.99,7.99
1760,8.179166667,,,,,,,,,,,,,,,7.19,7.19
1761,8.174166667,,,,,,,,,,,,,,,8.77,8.77
1762,8.1625,,,,,,,,,,,,,,,8.61,8.61
1763,7.99,,,,,,,,,,,,,,,7.5,7.5
1764,7.879166667,,,,,,,,,,,,,,,8.4,8.4
1765,7.958333333,,,,,,,,,,,,,,,8.25,8.25
1766,7.946666667,,,,,,,,,,,,,,,8.41,8.41
1767,8.03,,,,,,,,,,,,,,,8.22,8.22
1768,7.984166667,,,,,,,,,,,,,,,6.78,6.78
1769,7.9975,,,,,,,,,,,,,,,7.69,7.69
1770,8.1375,,,,,,,,,,,,,,,7.69,7.69
1771,8.129166667,,,,,,,,,,,,,,,7.85,7.85
1772,8.13,,,,,,,,,,,,,,,8.19,8.19
1773,8.140833333,,,,,,,,,,,,,,,8.22,8.22
1774,8.204166667,,,,,,,,,,,,,,,8.77,8.77
1775,8.425,,,,,,,,,,,,,,,9.18,9.18
1776,8.459166667,,,,,,,,,,,,,,,8.3,8.3
1777,8.476666667,,,,,,,,,,,,,,,8.26,8.26
1778,8.4625,,,,,,,,,,,,,,,8.54,8.54
1779,8.435,,,,,,,,,,,,,,,8.98,8.98
1780,8.363333333,,,,,,,,,,,,,,,9.43,9.43
1781,8.320833333,,,,,,,,,,,,,,,8.1,8.1
1782,8.225,,,,,,,,,,,,,,,7.9,7.9
1783,8.2375,,,,,,,,,,,,,,,7.68,7.68
1784,8.243333333,,,,,,,,,,,,,,,7.86,7.86
1785,8.196666667,,,,,,,,,,,,,,,7.36,7.36
1786,8.134166667,,,,,,,,,,,,,,,8.26,8.26
1787,8.0225,,,,,,,,,,,,,,,8.03,8.03
1788,8.033333333,,,,,,,,,,,,,,,8.45,8.45
1789,8.085833333,,,,,,,,,,,,,,,8.33,8.33
1790,8.141666667,,,,,,,,,,,,,,,7.98,7.98
1791,8.175833333,,,,,,,,,,,,,,,8.23,8.23
1792,8.271666667,,,,,,,,,,,,,,,8.09,8.09
1793,8.305833333,,,,,,,,,,,,,,,8.23,8.23
1794,8.345833333,,,,,,,,,,,,,,,8.53,8.53
1795,8.348333333,,,,,,,,,,,,,,,8.35,8.35
1796,8.37,,,,,,,,,,,,,,,8.27,8.27
1797,8.42,,,,,,,,,,,,,,,8.51,8.51
1798,8.4425,,,,,,,,,,,,,,,8.67,8.67
1799,8.505,,,,,,,,,,,,,,,8.51,8.51
1800,8.5325,,,,,,,,,,,,,,,8.48,8.48
1801,8.524166667,,,,,,,,,,,,,,,8.59,8.59
1802,8.518333333,,,,,,,,,,,,,,,8.58,8.58
1803,8.465,,,,,,,,,,,,,,,8.5,8.5
1804,8.345833333,,,,,,,,,,,,,,,8.84,8.84
1805,8.2,,,,,,,,,,,,,,,8.56,8.56
1806,8.0625,,,,,,,,,,,,,,,8.43,8.43
1807,7.943333333,,,,,,,,,,,,,,,8.28,8.28
1808,7.8725,,,,,,,,,,,,,,,7.63,7.63
1809,7.79,,,,,,,,,,,,,,,7.08,7.08
1810,7.685,,,,,,,,,,,,,,,6.92,6.92
1811,7.526666667,,,,,,,,,,,,,,,6.86,6.86
1812,7.395,,,,,,,,,,,,,,,7.05,7.05
1813,7.345,,,,,,,,,,,,,,,7.74,7.74
1814,7.269166667,,,,,,,,,,,,,,,7.59,7.59
1815,7.268333333,,,,,,,,,,,,,,,7.24,7.24
1816,7.3525,,,,,,,,,,,,,,,6.94,6.94
1817,7.458333333,,,,,,,,,,,,,,,6.98,6.98
1818,7.53,,,,,,,,,,,,,,,7.83,7.83
1819,7.655,,,,,,,,,,,,,,,7.37,7.37
1820,7.709166667,,,,,,,,,,,,,,,7.62,7.62
1821,7.773333333,,,,,,,,,,,,,,,8.09,8.09
1822,7.904166667,,,,,,,,,,,,,,,8.19,8.19
1823,8.006666667,,,,,,,,,,,,,,,7.72,7.72
1824,8.086666667,,,,,,,,,,,,,,,8.55,8.55
1825,8.144166667,,,,,,,,,,,,,,,8.39,8.39
1826,8.166666667,,,,,,,,,,,,,,,8.36,8.36
1827,8.1525,,,,,,,,,,,,,,,8.81,8.81
1828,8.145833333,,,,,,,,,,,,,,,8.17,8.17
1829,8.1425,,,,,,,,,,,,,,,7.94,7.94
1830,8.115,,,,,,,,,,,,,,,8.52,8.52
1831,8.044166667,,,,,,,,,,,,,,,7.64,7.64
1832,7.96,,,,,,,,,,,,,,,7.45,7.45
1833,7.889166667,,,,,,,,,,,,,,,8.01,8.01
1834,7.790833333,,,,,,,,,,,,,,,8.15,8.15
1835,7.76,,,,,,,,,,,,,,,7.39,7.39
1836,7.739166667,,,,,,,,,,,,,,,7.7,7.7
1837,7.6975,,,,,,,,,,,,,,,7.38,7.38
1838,7.741666667,,,,,,,,,,,,,,,7.51,7.51
1839,7.758333333,,,,,,,,,,,,,,,7.63,7.63
1840,7.745,,,,,,,,,,,,,,,7.8,7.8
1841,7.778333333,,,,,,,,,,,,,,,7.69,7.69
1842,7.836666667,,,,,,,,,,,,,,,8.02,8.02
1843,7.86,,,,,,,,,,,,,,,8.17,8.17
1844,7.91,,,,,,,,,,,,,,,7.65,7.65
1845,7.9425,,,,,,,,,,,,,,,7.85,7.85
1846,7.988333333,,,,,,,,,,,,,,,8.55,8.55
1847,8.013333333,,,,,,,,,,,,,,,8.09,8.09
1848,8.0425,,,,,,,,,,,,,,,7.98,7.98
1849,8.058333333,,,,,,,,,,,,,,,7.98,7.98
1850,8.053333333,,,,,,,,,,,,,,,7.9,7.9
1851,8.0825,,,,,,,,,,,,,,,8.18,8.18
1852,8.075,,,,,,,,,,,,,,,8.1,8.1
1853,8.0375,,,,,,,,,,,,,,,8.04,8.04
1854,8.050833333,,,,,,,,,,,,,,,8.21,8.21
1855,8.049166667,,,,,,,,,,,,,,,8.11,8.11
1856,8.038333333,,,,,,,,,,,,,,,8,8
1857,8.01,,,,,,,,,,,,,,,7.76,7.76
1858,8.004166667,,,,,,,,,,,,,,,8.1,8.1
1859,7.994166667,,,,,,,,,,,,,,,8.25,8.25
1860,8.005833333,,,,,,,,,,,,,,,7.96,7.96
1861,8.0125,,,,,,,,,,,,,,,7.85,7.85
1862,8.04,,,,,,,,,,,,,,,7.56,7.56
1863,8.060833333,,,,,,,,,,,,,,,8.11,8.11
1864,8.116666667,,,,,,,,,,,,,,,7.98,7.98
1865,8.125,,,,,,,,,,,,,,,8.18,8.18
1866,8.114166667,,,,,,,,,,,,,,,8.29,8.29
1867,8.133333333,,,,,,,,,,,,,,,8.44,8.44
1868,8.175,,,,,,,,,,,,,,,8.25,8.25
1869,8.2475,,,,,,,,,,,,,,,8.43,8.43
1870,8.226666667,,,,,,,,,,,,,,,8.2,8.2
1871,8.235,,,,,,,,,,,,,,,8.12,8.12
1872,8.265,,,,,,,,,,,,,,,8.19,8.19
1873,8.31,,,,,,,,,,,,,,,8.35,8.35
1874,8.2875,,,,,,,,,,,,,,,8.43,8.43
1875,8.276666667,,,,,,,,,,,,,,,7.86,7.86
1876,8.263333333,,,,,,,,,,,,,,,8.08,8.08
1877,8.2575,,,,,,,,,,,,,,,8.54,8.54
1878,8.245833333,,,,,,,,,,,,,,,8.83,8.83
1879,8.210833333,,,,,,,,,,,,,,,8.17,8.17
1880,8.175,,,,,,,,,,,,,,,8.12,8.12
1881,8.135,,,,,,,,,,,,,,,8.27,8.27
1882,8.139166667,,,,,,,,,,,,,,,8.13,8.13
1883,8.14,,,,,,,,,,,,,,,7.98,7.98
1884,8.121666667,,,,,,,,,,,,,,,7.77,7.77
1885,8.05,,,,,,,,,,,,,,,7.92,7.92
1886,8.0375,,,,,,,,,,,,,,,7.95,7.95
1887,8.033333333,,,,,,,,,,,,,,,7.91,7.91
1888,8.015833333,,,,,,,,,,,,,,,8.09,8.09
1889,8.018333333,,,,,,,,,,,,,,,8.32,8.32
1890,8.0325,,,,,,,,,,,,,,,7.97,7.97
1891,8.069166667,,,,,,,,,,,,,,,8.02,8.02
1892,8.1,,,,,,,,,,,,,,,8.07,8.07
1893,8.119166667,,,,,,,,,,,,,,,8.06,8.06
1894,8.16,,,,,,,,,,,,,,,8.16,8.16
1895,8.194166667,,,,,,,,,,,,,,,8.15,8.15
1896,8.2125,,,,,,,,,,,,,,,8.21,8.21
1897,8.24,,,,,,,,,,,,,,,8.29,8.29
1898,8.256666667,,,,,,,,,,,,,,,8.18,8.18
1899,8.258333333,,,,,,,,,,,,,,,8.4,8.4
1900,8.2725,,,,,,,,,,,,,,,8.5,8.5
1901,8.290833333,,,,,,,,,,,,,,,8.54,8.54
1902,8.274166667,,,,,,,,,,,,,,,8.3,8.3
1903,8.2725,,,,,,,,,,,,,,,8.22,8.22
1904,8.263333333,,,,,,,,,,,,,,,8.09,8.09
1905,8.266666667,,,,,,,,,,,,,,,8.23,8.23
1906,8.248333333,,,,,,,,,,,,,,,8.38,8.38
1907,8.220833333,,,,,,,,,,,,,,,7.95,7.95
1908,8.200833333,,,,,,,,,,,,,,,8.19,8.19
1909,8.225,,,,,,,,,,,,,,,8.18,8.18
1910,8.255833333,,,,,,,,,,,,,,,8.22,8.22
1911,8.2675,,,,,,,,,,,,,,,8.18,8.18
1912,8.25,,,,,,,,,,,,,,,8.17,8.17
1913,8.229166667,,,,,,,,,,,,,,,8.3,8.3
1914,8.265,,,,,,,,,,,,,,,8.59,8.59
1915,8.279166667,,,,,,,,,,,,,,,8.59,8.59
1916,8.311666667,,,,,,,,,,,,,,,8.23,8.23
1917,8.3275,,,,,,,,,,,,,,,8.02,8.02
1918,8.3475,,,,,,,,,,,,,,,8.13,8.13
1919,8.375833333,,,,,,,,,,,,,,,8.38,8.38
1920,8.395,,,,,,,,,,,,,,,8.36,8.36
1921,8.406666667,,,,,,,,,,,,,,,8.57,8.57
1922,8.400833333,,,,,,,,,,,,,,,8.41,8.41
1923,8.434166667,,,,,,,,,,,,,,,8.42,8.42
1924,8.4525,,,,,,,,,,,,,,,8.51,8.51
1925,8.494166667,,,,,,,,,,,,,,,8.53,8.53
1926,8.5225,,,,,,,,,,,,,,,8.73,8.73
1927,8.551666667,,,,,,,,,,,,,,,8.52,8.52
1928,8.5325,,,,,,,,,,,,,,,8.63,8.63
1929,8.550833333,,,,,,,,,,,,,,,8.24,8.24
1930,8.559166667,,,,,,,,,,,,,,,8.63,8.63
1931,8.5625,,,,,,,,,,,,,,,8.72,8.72
1932,8.576666667,,,,,,,,,,,,,,,8.71,8.71
1933,8.5875,,,,,,,,,,,,,,,8.34,8.34
1934,8.6075,,,,,,,,,,,,,,,8.63,8.63
1935,8.618333333,,,,,,,,,,,,,,,8.52,8.52
1936,8.6625,,,,,,,,,,,,,,,8.55,8.55
1937,8.670833333,,,,,,,,,,,,,,,8.7,8.7
1938,8.674166667,,,,,,,,,,,,,,,8.86,8.86
1939,8.685833333,,,,,,,,,,,,,,,8.76,8.76
1940,8.705833333,,,,,,,,,,,,,,,8.76,8.76
1941,8.71,,,,,,,,,,,,,,,8.77,8.77
1942,8.733333333,,,,,,,,,,,,,,,8.73,8.73
1943,8.75,,,,,,,,,,,,,,,8.76,8.76
1944,8.740833333,,,,,,,,,,,,,,,8.85,8.85
1945,8.7,,,,,,,,,,,,,,,8.58,8.58
1946,8.689166667,,,,,,,,,,,,,,,8.68,8.68
1947,8.679166667,,,,,,,,,,,,,,,8.8,8.8
1948,8.6875,,,,,,,,,,,,,,,8.75,8.75
1949,8.673333333,,,,,,,,,,,,,,,8.59,8.59
1950,8.6625,,,,,,,,,,,,,,,8.37,8.37
1951,8.615,,,,,,,,,,,,,,,8.63,8.63
1952,8.6275,,,,,,,,,,,,,,,8.64,8.64
1953,8.635,,,,,,,,,,,,,,,8.87,8.87
1954,8.629166667,,,,,,,,,,,,,,,8.56,8.56
1955,8.615,,,,,,,,,,,,,,,8.63,8.63
1956,8.6325,,,,,,,,,,,,,,,8.28,8.28
1957,8.664166667,,,,,,,,,,,,,,,8.73,8.73
1958,8.683333333,,,,,,,,,,,,,,,8.77,8.77
1959,8.664166667,,,,,,,,,,,,,,,8.73,8.73
1960,8.635833333,,,,,,,,,,,,,,,8.58,8.58
1961,8.639166667,,,,,,,,,,,,,,,8.8,8.8
1962,8.645,,,,,,,,,,,,,,,8.75,8.75
1963,8.665,,,,,,,,,,,,,,,8.86,8.86
1964,8.654166667,,,,,,,,,,,,,,,8.41,8.41
1965,8.648333333,,,,,,,,,,,,,,,8.53,8.53
1966,8.6375,,,,,,,,,,,,,,,8.6,8.6
1967,8.630833333,,,,,,,,,,,,,,,8.7,8.7
1968,8.643333333,,,,,,,,,,,,,,,8.52,8.52
1969,8.62,,,,,,,,,,,,,,,8.6,8.6
1970,8.61,,,,,,,,,,,,,,,8.7,8.7
1971,8.605,,,,,,,,,,,,,,,8.6,8.6
1972,8.631666667,,,,,,,,,,,,,,,8.5,8.5
1973,8.639166667,,,,,,,,,,,,,,,8.95,8.95
1974,8.641666667,,,,,,,,,,,,,,,8.47,8.47
1975,8.68,,,,,,,,,,,,,,,8.74,8.74
1976,8.7275,,,,,,,,,,,,,,,8.35,8.35
1977,8.7225,,,,,,,,,,,,,,,8.85,8.85
1978,8.758333333,,,,,,,,,,,,,,,8.69,8.69
1979,8.774166667,,,,,,,,,,,,,,,8.73,8.73
1980,8.75,,,,,,,,,,,,,,,8.98,8.98
1981,8.78,,,,,,,,,,,,,,,9.17,9.17
1982,8.800833333,,,,,,,,,,,,,,,8.64,8.64
1983,8.871666667,,,,,,,,,,,,,,,9.03,9.03
1984,8.8775,,,,,,,,,,,,,,,8.69,8.69
1985,8.9225,,,,,,,,,,,,,,,8.66,8.66
1986,8.96,,,,,,,,,,,,,,,8.83,8.83
1987,8.948333333,,,,,,,,,,,,,,,8.99,8.99
1988,8.923333333,,,,,,,,,,,,,,,9.2,9.2
1989,8.956666667,,,,,,,,,,,,,,,8.92,8.92
1990,8.983333333,,,,,,,,,,,,,,,9.23,9.23
1991,9.0125,,,,,,,,,,,,,,,9.18,9.18
1992,9.0575,,,,,,,,,,,,,,,8.84,8.84
1993,9.115,,,,,,,,,,,,,,,8.87,8.87
1994,9.14,,,,,,,,,,,,,,,9.04,9.04
1995,9.14,,,,,,,,,,,,,,,9.35,9.35
1996,9.180833333,,,,,,,,,,,,,,,9.04,9.04
1997,9.209166667,,,,,,,,,,,,,,,9.2,9.2
1998,9.238333333,,,,,,,,,,,,,,,9.52,9.52
1999,9.278333333,,,,,,,,,,,,,,,9.29,9.29
2000,9.3475,,,,,,,,,,,,,,,9.2,9.2
2001,9.388333333,,,,,,,,,,,,,,,9.41,9.41
2002,9.42,,,,,,,,,,,,,,,9.57,9.57
2003,9.4525,,,,,,,,,,,,,,,9.53,9.53
2004,9.478333333,,,,,,,,,,,,,,,9.32,9.32
2005,9.493333333,,,,,,,,,,,,,,,9.7,9.7
2006,9.5125,,,,,,,,,,,,,,,9.53,9.53
2007,9.538333333,,,,,,,,,,,,,,,9.73,9.73
2008,9.555,,,,,,,,,,,,,,,9.43,9.43
2009,9.555,,,,,,,,,,,,,,,9.51,9.51
2010,9.58,,,,,,,,,,,,,,,9.7,9.7
2011,,,,,,,,,,,,,,,,9.52,9.52
2012,,,,,,,,,,,,,,,,9.51,9.51
2013,,,,,,,,,,,,,,,,9.61,9.61
2014,,,,,,,,,,,,,,,,9.57,9.57
2015,,,,,,,,,,,,,,,,9.83,9.83
